title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
Crusty Demons 18: Twenty Years of Fear,2015,Not Rated,67 min,"Documentary, Sport","Christopher Folino, Jon Freeman",N/A,"Seth Enslow, William Katt, Laryy Linkogle","The all new unrated, unapologetic and uncensored Crusty Demons film! Get an all access pass to never before seen crashes, parties and jumps. Brand new footage &amp; interviews from legendary riders Travis Pastrana, Robbie Maddison, Larry Linkogle, Seth Enslow and more.",English,United States,N/A,8.0,757,tt5066616,N/A
Never Too Old,2015,TV-14,43 min,"Documentary, Crime",John Mavety,N/A,"David Anderson, Alex Beauman, Morrison James",They look like sweet grannies but they prove murder has no age limit. A grandma's need to control her grandson takes a deadly turn; a retirement home romance meets a lethal end; and an ageing gold-digger preys on her final victim.,"Greek, English",United States,N/A,N/A,11,tt5066630,N/A
Por Sofia,2016,TV-14,89 min,Drama,Alfredo Ibarra,Alfredo Ibarra,"Lavinia Postolache, Patricia Ponce de León, Nathalia Hencker","After witnessing the murder of her mother 20 years ago, Alexa returns to Los Angeles seeking revenge on the man who killed her. She finds that her best way to reach this man is trough his son, who turn out to be nothing like his father.",Spanish,"Mexico, United States",N/A,8.5,34,tt5066646,N/A
ROPEd,2017,N/A,18 min,"Short, Drama, History",Riel Stone,"Margaret Atwood, Riel Stone","Mary Krohnert, Andrew Gillies, Phillip MacKenzie","Based on Margaret Atwood's poem ""Half-hanged Mary"", ROPEd is a short film about the fiercely independent Mary Webster, a healer and landowner, who is confronted by her Puritan neighbors with accusations of witchcraft. Mary is not one to go down without a fight. Now, with all her strength and spirit, she will fight for her very life.",English,Canada,1 win,N/A,26,tt5066652,N/A
Love Me Tender... Or Else,2009,N/A,3 min,Short,Greg Williams,"Greg Williams, Grant Tuohy (additional story)","Rosie Huntington-Whiteley, Charlie Speed, Jean Brooks",N/A,English,UK,N/A,N/A,N/A,tt5066660,N/A
Cannon Busters,2019,TV-MA,N/A,"Animation, Fantasy",Lesean Thomas,Lesean Thomas,"Stephanie Sheh, Kenny Blank, Kamali Minter","Explore the fantastic land of Gearbolt as we follow a motley crew of travelers on an unforgettable journey to reunite 2 best friends. S.A.M. is a high-end, friendship robot determined to reunite with her best friend Kelby, the missing heir to her Kingdom under siege. Casey Turnbuckle is an out-dated, spunky grease-monkey repair robot, looking for an upgrade. Philly the Kid is a wanted, immortal fugitive just looking for a chance to shake them. Along for the ride is the greatest swordsman never known and an oversized Cadillac Eldorado that transforms into a sentient, giant robot. On their own, they're a lost cause. Together, they're the hippest group of travelers in action-fantasy.",English,"United States, Japan",N/A,6.6,"1,505",tt5066664,N/A
Canyon Trail,2015,N/A,N/A,Western,Rick Simpson,Rick Simpson,"R.W. Hampton, Doug Lane, Wyatt McCrea, Neal Ohmart","A vicious group of outlaws is terrorizing ranchers in the Purgatory country of Colorado. Young Christina Henderson has been kidnapped and a deadly trap planned for Stormy, Texas, and ...",English,USA,N/A,4.0,8,tt5066684,N/A
The Fisherman's Daughter,2023,N/A,80 min,Drama,Edgar Alberto Deluque Jacome,Edgar Alberto Deluque Jacome,"Modesto Lacen, Roamir Pineda, Jesús Romero.","Patricia, a prostitute accused of murder, seeks refuge in the island where is living her father Samuel, a fisherman who rejects her for being transsexual.",Spanish,"Puerto Rico, Dominican Republic, Colombia",N/A,N/A,11,tt5066698,N/A
Hidden by Lies,2015,TV-14,44 min,"Documentary, Crime",N/A,N/A,"Loretta Cox, Robert Dunham, Larry Eck",A college student is found stabbed to death in her off campus apartment. Will it take a second tragic murder to solve her case?,N/A,N/A,N/A,N/A,8,tt5066706,N/A
All Star Pups!/Pups Save Sports Day,2016,TV-Y,23 min,"Animation, Adventure, Comedy",Charles E. Bastien,"Scott Albert, Andrew Guerdat","Solomon Brown, Max Calinescu, Devan Cohen","In ""All Star Pups"", the PAW Patrol competes against a team of monkeys in a charity game. In ""Pups Save Sports Day"", the pups find a way to incorporate winter events in their Sports Day celebration.",N/A,N/A,N/A,N/A,26,tt5066752,N/A
Charlie Brown Clears the Air,1979,N/A,6 min,"Animation, Short, Family",Bill Melendez,Charles M. Schulz,"Daniel Anderson, Bill Melendez, Michelle Muller","With his neighborhood fouled with pollution, Charlie Brown decides to do something about it.",English,United States,N/A,6.4,24,tt5066790,N/A
Volcano,2015,N/A,N/A,Comedy,Jeff Beesley,"Jan Caruana, Sadiya Durrani, Alastair Forbes","Kathleen Phillips, Pat Thornton, Patrice Goodman",N/A,N/A,N/A,N/A,N/A,6,tt5066798,N/A
Code 13: Unreadable,2021–,TV-MA,52 min,Crime,N/A,"Charlie Alejandro, Seth Chitwood","Pamela Jayne Morgan, Alaina Gianci, Sean Dominic, Timothy R. O'Malley","A group of Massachusetts State Troopers, referred to as the ""Dream Team"", work to locate and save a kidnapped girl with just her audio to help them.",English,USA,N/A,N/A,N/A,tt5066816,N/A
Remember the Goal,2016,PG,88 min,"Drama, Sport",Dave Christiano,Dave Christiano,"Allee Sutton Hethcoat, Quinn Alexis, Sydney Marks","A new Coach takes over the girls cross country program at a private Christian school and sets a goal for them to win the state meet. As they begin to train for this, the top five runners each deal separately with a particular issue in life related to teens. As each of these stories unfold, so does the wisdom of the young Coach as she guides the girls along the pathway of life.",English,United States,N/A,6.4,409,tt5066818,N/A
Rainy Afternoon,2015,N/A,4 min,"Short, Music",N/A,N/A,Lovro Preprotnik,N/A,N/A,Croatia,N/A,N/A,N/A,tt5066824,N/A
Pat Metheny: The Unity Sessions,2015,N/A,118 min,"Documentary, Music",Matthew Beighley,N/A,"Giulio Carmassi, Pat Metheny, Chris Potter","On September 18th Pat is proud to release of ""The Unity Sessions"" on DVD, Blu-ray and digital formats. Featuring new performances of music from the Grammy winning ""Unity Band"", the expansive ""Unity Group KIN"", and touchstones from the entirety of his illustrious career. These performances serve as a rare visual documentation of some of the best music of Pat's ever expanding career. ""The Unity Sessions"" finds Pat at the helm of one of his best bands ever as they wrap up a 150+ date world tour with an intimate studio performance filmed in a small New York City theater. As well as the amazing full concert itself, Bonus Features include an insightful filmed interview backstage with Pat and the band.",English,United States,N/A,8.6,10,tt5066850,N/A
Autumn Dreams,2015,TV-G,84 min,"Comedy, Drama, Romance",Neill Fearnley,Laurie Stevens,"Jill Wagner, Colin Egglesfield, Rachel Hayward","Annie and Ben marry in their late teens, but due to her parents disapproval have the marriage annulled. Their lives both become complicated as they are both preparing for independent marriages later in life, and discover the annulment was never filed.",English,"United States, Canada",N/A,6.4,"4,459",tt5066870,N/A
Episode #1.1,2016,TV-PG,46 min,"Biography, Comedy, Drama",Steve Barron,"Simon Nye, Gerald Durrell","Keeley Hawes, Josh O'Connor, Milo Parker","In 1935, beleaguered Bournemouth mother Louisa Durrell decides to uproot her problematic family and build a new life on the Greek island of Corfu. However, they soon find that island life presents its own problems.",English,United Kingdom,N/A,N/A,492,tt5066886,N/A
Episode #1.2,2016,TV-PG,46 min,"Biography, Comedy, Drama",Steve Barron,"Simon Nye, Gerald Durrell","Keeley Hawes, Josh O'Connor, Milo Parker",Theo and his neighbour Sven must put their rudimentary medical skills to the test when Larry Durrell falls dangerously ill. Spiros brings the family some good news that may ease their financial worries.,English,United Kingdom,N/A,N/A,403,tt5066888,N/A
Episode #1.3,2016,TV-PG,46 min,"Biography, Comedy, Drama",Steve Barron,"Simon Nye, Gerald Durrell","Keeley Hawes, Josh O'Connor, Milo Parker","Margo takes great pride in her new job at the surgery, but realises where her greatest talent lies. Louisa wonders if she's made a mistake bringing her family to Corfu when Gerry befriends a convict.",English,United Kingdom,N/A,N/A,347,tt5066890,N/A
Episode #1.4,2016,TV-PG,46 min,"Biography, Comedy, Drama",Roger Goldby,"Simon Nye, Gerald Durrell","Keeley Hawes, Josh O'Connor, Milo Parker","Leslie is accused of armed robbery, forcing Louisa to take drastic action to save him. Margo takes a shine to a gardener at the Villa and the family realise the extent of Gerry's passion for animals.",English,United Kingdom,N/A,7.7,377,tt5066892,N/A
Episode #1.5,2016,TV-PG,46 min,"Biography, Comedy, Drama",Roger Goldby,"Simon Nye, Gerald Durrell","Keeley Hawes, Josh O'Connor, Milo Parker","The family are visited by a domineering aunt who voices her disapproval of the whole family when Larry's girlfriend visits. Sven makes Louisa an offer, Margo falls in love and Gerry acquires some owlets.",English,United Kingdom,N/A,N/A,316,tt5066894,N/A
Episode #1.6,2016,TV-PG,46 min,"Biography, Comedy, Drama",Roger Goldby,"Simon Nye, Gerald Durrell","Keeley Hawes, Josh O'Connor, Milo Parker","As the Durrells prepare for a celebration, Margo is determined to persuade the reclusive Countess Mavrodaki to attend. Sven makes a good impression and Gerry considers releasing his animals into the wild.",English,N/A,N/A,N/A,301,tt5066898,N/A
Der Tag an dem Penny Lanz starb,2015,N/A,45 min,Crime,Holger Barthel,Stefan Brunner,"Stefan Jürgens, Gregor Seberg, Lilian Klebow, Dietrich Siegl",N/A,N/A,N/A,N/A,N/A,N/A,tt5066912,N/A
"Anesthesia, Antibiotics, & Organ Transplants",2015,N/A,N/A,"Documentary, History",N/A,N/A,N/A,Three life-saving medical marvels that revolutionized treatment and expanded the limits of medicine.,N/A,N/A,N/A,N/A,10,tt5066916,N/A
"The Helicopter, Scuba, & Space Travel",2015,N/A,30 min,N/A,N/A,"Peter McDonnell, Jeremy Thacker",N/A,Three technologies that gave us the opportunity to go where we had never gone before.,N/A,N/A,N/A,6.9,9,tt5066918,N/A
"The Bow and Arrow, Gun, & Atomic Bomb",2015,N/A,N/A,"Documentary, History",N/A,N/A,N/A,Three weapons that led to the rise and fall of empires.,N/A,N/A,N/A,N/A,9,tt5066920,N/A
"The Telescope, X-Ray, & Electron Microscope",2015,N/A,N/A,"Documentary, History",N/A,N/A,N/A,Three feats of invention that revealed the world beyond and within in almost unthinkable detail.,N/A,N/A,N/A,N/A,8,tt5066922,N/A
